Name,Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Carbon Storage (kg)
Prunus avium,5,1.5,4,12.6,13.5,8.9
Prunus avium,6,1.8,3,7.1,9.5,115
Prunus avium,6,1.8,3,7.1,9.1,21.3
Prunus avium,6,1.8,3,7.1,8,21.3
Prunus domestica,6,1.8,3,7.1,9.6,25.3
Prunus avium,5,1.5,4,12.6,13.5,8.9
Prunus avium,5,1.5,4,12.6,12.7,8.9
Prunus avium,5,1.5,4,12.6,11.2,8.9
Prunus domestica,6,1.8,3,7.1,9.6,25.3
Prunus avium,8,2.4,3,7.1,12,57.1
Prunus avium,6,1.8,3,7.1,12.3,115
Prunus avium,8,2.4,4,12.6,22.1,115
Quercus robur,2.5,0.8,2,3.1,3.5,27.3
Quercus robur,15,4.5,4,12.6,38.3,196.1
Robinia pseudoacacia,10,3,3,7.1,13.2,35.3
Robinia pseudoacacia,10,3,3,7.1,13.2,35.3
Robinia pseudoacacia,10,3,3,7.1,14.1,35.3
Robinia pseudoacacia,14,4.2,3,7.1,20.4,68.90000000000001
Robinia pseudoacacia,14,4.2,3,7.1,18.4,35.3
Robinia pseudoacacia,10,3,3,7.1,12.9,68.90000000000001
Robinia pseudoacacia,10,3,3,7.1,13.8,68.90000000000001
Robinia pseudoacacia,18,5.4,3,7.1,28.4,629.1
Sophora japonica,6,1.8,6,28.3,28.2,4.6
Sophora japonica,5,1.5,3.5,9.6,10.2,24.3
Sophora japonica,4,1.2,2.5,4.9,4.6,20.3
Sophora japonica,5,1.5,3,7.1,6.3,24.3
Sophora japonica,5,1.5,3.5,9.6,10.8,24.3
Sophora japonica,5,1.5,3.5,9.6,8.300000000000001,24.3
Sophora japonica,5,1.5,3.5,9.6,8.9,24.3
Sophora japonica,5,1.5,3.5,9.6,9.5,24.3
Sophora japonica,5,1.5,3.5,9.6,8.9,39.1
Sophora japonica,5,1.5,4,12.6,12.5,39.1
Sophora japonica,4,1.2,3,7.1,6,16.7
Sophora japonica,4,1.2,3,7.1,6,16.7
Sophora japonica,4,1.2,3,7.1,7.2,16.7
Tilia tomentosa,4,1.2,2,3.1,5.6,3.4
Tilia tomentosa,4,1.2,2,3.1,5.6,3.4
Tilia tomentosa,4,1.2,2,3.1,5.2,3.4
Tilia x europaea,5,1.5,2.5,4.9,8.5,15.4
Tilia x europaea,5,1.5,2.5,4.9,8.5,15.4
Tilia x europaea,5,1.5,2.5,4.9,7,15.4
Tilia x europaea,5,1.5,2.5,4.9,7.5,15.4
Tilia x europaea,5,1.5,2.5,4.9,7,15.4
Tilia x europaea,5,1.5,2.5,4.9,8,15.4
Tilia x europaea,6,1.8,6,28.3,73.90000000000001,183.2
Tilia x europaea,5,1.5,2,3.1,7.6,54.9
Tilia x europaea,8,2.4,8,50.3,198.9,685.5
Tilia x europaea,8,2.4,8,50.3,164.6,685.5
Tilia x europaea,8,2.4,8,50.3,198.9,685.5
Tilia x europaea,12,3.6,5.6,24.3,71.09999999999999,66.3
Tilia x europaea,12,3.6,5.6,24.3,71.09999999999999,66.3
Tilia x europaea,12,3.6,5.6,24.3,71.09999999999999,66.3
Tilia x europaea,12,3.6,5.6,24.3,62.9,66.3
Tilia x europaea,12,3.6,5.6,24.3,58.8,66.3
Tilia x europaea,12,3.6,5.6,24.3,67,66.3
Tilia x europaea,12,3.6,5.6,24.3,58.8,66.3
Tilia x europaea,12,3.6,5.6,24.3,71.09999999999999,66.3
Tilia x europaea,12,3.6,5.6,24.3,69.09999999999999,54.9
Tilia x europaea,12,3.6,5.6,24.3,57.2,54.9
Tilia x europaea,12,3.6,5.6,24.3,69.09999999999999,54.9
Tilia x europaea,5,1.5,3,7.1,13.2,44.7
Tilia x europaea,12,3.6,3,7.1,23.1,79
Tilia x europaea,20,6,4,12.6,61.8,310
